dateStart,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30
1900-03-20,-0.9622602686285973,0.36587605997920036,-0.583953910972923,-0.40790641866624355,0.2573054931126535,-0.7694614394567907,-0.4825863973237574,-0.8970800489187241,0.8624037778936327,0.4539131005294621,0.5759505513124168,0.6419162969104946,-0.964602479711175,-0.09959441190585494,-0.23944969521835446,-0.12842038460075855,0.5198689098469913,-0.008477464783936739,-0.7639676183462143,-0.04121181508526206,-0.7724766456522048,0.2789177945815027,0.16949477093294263,0.7787412903271616,0.9095771205611527,0.6199004636146128,-0.9898207914084196,-0.07809127308428288,0.3372532455250621,-0.6728719500824809
1900-06-15,0.024201445960632895,1,0.4105604843527334,-1,1,0.2016466505376978,0.4791984318689716,0.09348680809197041,1,1,1,-0.27061686300918697,-1,0.8531306732905183,0.7149010523722549,-1,1,0.9648818359828947,-1,-0.9888646619832882,-0.7697177662693611,0.250561562009353,0.13206879288986714,0.8177285061095544,0.9029671624567349,0.7157066250745997,-0.9809541011606353,-0.016858268483359994,0.3279367967813979,-0.7037187568848091
1900-06-21,0.9977338877478733,0.012158620267633258,-0.5067742348727623,-0.012167372362518414,0.002080458580939748,-0.7607664630157972,1,1,1,1,1,-1,-1,1,1,-1,0.08398793611992006,0.06710831176827481,-1,-0.02686203627583872,-0.822241638176324,0.21703387908319238,0.2003445000976251,0.8330164078112802,0.9325290714157377,0.7192344971969298,-0.9806816641732383,0.05694142474622795,0.38366699480481126,-0.77088932978908975
1900-09-22,1,-0.9168257553488139,-1,-0.9676831240011479,-0.9313203869237222,0.20708855262322345,0.012665374867305235,0.007469899180409967,1,0.014150393656880311,1,-1,-1,0.08188982642043718,1,-0.058556138488827125,-0.9038841252865341,1,-1,0.9029662201301074,-0.7653492978088189,0.2727769898788001,0.15920525147165032,0.856563928862645,0.9636654865803816,0.7108685359517629,-0.9726749042365892,0.04639202469412433,0.29058380347313534,-0.7925648379642632
1900-10-01,0.10746889296654127,-1,-1,-1,-1,1,0.9624329945662851,-0.9293632377433518,1,-0.9119859510838383,1,-0.015213373751327697,-1,1,0.01753669599362373,-1,-1,1,-1,-0.09650361531513774,-0.7099226900299982,0.29093403992993805,0.1509149137316276,0.7164899153292943,0.9068735581368292,0.7253843154417577,-0.9860749912664629,0.07483417465725603,0.3180639047610846,-0.7912222556290467
1900-10-15,1,-0.04064591896413439,-1,-0.06103472311337366,-0.05513272128601954,0.05015325097907353,-0.03747972933916588,0.05352662347515558,0.015118270744246542,-1,1,0.9764411723044112,-0.10859824317099542,0.03725039087749382,0.9479096174689007,-0.0015443022727064104,-1,0.0016994326116975822,-0.07346744224015622,0.846610986793934,-0.7792121770335962,0.2610540622037871,0.0396575653605442,0.7106694384142539,0.8973681775042907,0.6927488505171834,-0.9867108179411128,0.08120729379996423,0.35768057421938115,-0.7659091103158947
1901-01-01,1,-1,-0.06037434692062271,-1,-1,0.9711702970356793,-0.9669162260650328,0.9884600962247363,-0.9834837401750282,-0.004596221107009302,0.006310753803520863,1,0.8394354567287755,-0.8860670671050394,0.024362644998554117,-0.9981491264193797,-0.05324953193354931,0.9487068940387402,-0.9819707489108989,1,-0.8130339772552471,0.27862116210771803,0.027824914793153993,0.7030654850874088,0.9321901909854734,0.6449471195172178,-0.9726061203404193,-0.08377380185748569,0.3540538983488251,-0.7937431374068493
1901-02-01,0.02531737627271502,-0.016388155663681903,-1,-1,-0.01526489585006685,0.020972882146118144,-1,1,-0.03933503910347791,0.9630172600710751,-0.9861649363445973,1,1,-1,-0.966359740988729,-0.0063592173098069305,0.8962265407199073,-0.015787782592914357,0.013559235150211069,0.04587352064461714,-0.8587339785866065,0.27941520703636485,0.06782655114617889,0.6750428790372992,0.9552287028683879,0.6423054052423447,-1,-0.0884994025441033,0.3297974145832235,-0.761710508186906
1901-03-20,-0.9235069963646477,0.9752967067688566,-1,-1,-0.954642949693391,0.9109721560188585,-0.005454522031100972,1,-0.98011578770062735,1,-0.030059940812088293,1,0.009660237696135887,-1,-0.003963847739770543,-0.8983233698871179,1,-0.9814593381741248,1,-0.9166547606276868,-0.9551649913322047,0.22625612684239277,0.1375001734707586,0.6514006110604772,0.9604741722533625,0.5398182714444446,-0.9761814706398474,-0.1002062840360049,0.38667287888956914,-0.7445719327405635
1901-04-01,-1,0.03352055343997562,-1,-0.039438636922685344,0.01935809822315393,1,-0.9740948750199102,1,-1,0.04575454442169791,0.9178931463271299,0.014912937106241753,-0.8378796628542885,-1,0.9679113814341762,0.028333397808591343,0.16343489414134482,-1,1,-1,-0.9867609910592711,0.15136632661843183,0.1883363642570105,0.6588161670339858,0.9580902467929655,0.6125326971237179,-0.898117611366166,-0.04617043010014654,0.3180416573631128,-0.7257142973905313
1901-04-20,-1,1,-0.10853515649683132,0.8996272961171125,0.9910382001654858,1,0.012867088277848548,1,-1,-0.8793821447388986,1,1,-1,-1,-0.005577901797587992,-0.9290275330303607,1,-0.04791861191171054,0.04561072395471033,-0.024482460021292618,-1,0.20747794729030616,0.18111178203487685,0.6148388636634811,0.9224868838750753,0.5348342626359283,-0.8903607514163426,-0.05272451133679048,0.4158507682548668,-0.7365042303814093
1901-04-25,-1,0.02040363900017006,-1,-0.09587404827331714,1,0.01535478436121085,0.98299673116508135,1,-0.04105057486613972,0.10445987547888835,0.010326053176073713,0.10832752990736227,-1,-0.010211578066012139,-0.9974199981045594,0.02822593037185228,1,-1,0.9894488215730491,-1,-1,0.20347651474254275,0.186625112438153,0.7136313311005962,0.9102750212098139,0.4910445576354066,-0.816458781381452,-0.04352300486879566,0.49484102561540516,-0.7301201075832606
1901-05-01,-0.011277793089788601,0.9849217246919691,-0.1597903376766241,-1,1,-0.9610695498206101,1,1,0.9279736747390956,1,0.9816384482990015,-0.8317966640590001,-1,-0.9787847147433196,-0.03198212001940326,0.9779383654474899,1,-0.008590452481731625,1,-1,-0.9932973365115298,0.21532713531978054,0.15316209386658336,0.6499987490468686,0.9234961728959015,0.4421874667643802,-0.8262560303897348,-0.06932150466798193,0.46930388907167686,-0.7629202171385977
1901-05-20,0.9870516940351012,0.030926982165103256,-1,-0.036790576257527685,0.03320315339705271,0.005805471427597464,1,1,1,1,1,-1,-0.023904868134137947,-0.07915878914677987,0.9385912552392316,0.062267172067189236,1,0.976139130667802,1,-0.01291218030432395,-1,0.28422959551590965,0.15345979568731685,0.6484649809705962,0.8676377720386528,0.43989316308314186,-0.8175156790744176,-0.029477590139289064,0.4800761796119416,-0.7787380541101022
1901-06-01,1,0.9564889406331224,-1,0.9527488726802199,-0.918745631062345,0.9885648834207873,0.03787776792314035,0.011403042341290193,0.009336891995999519,1,1,-1,0.9413466756982113,0.9197748479104934,-0.04250395310820754,-0.8183509069317529,0.010180584146662008,-0.017211804414060783,1,0.9842351893091875,-1,0.17542021875212332,0.15583895119148633,0.6394606174548523,0.8703079625688327,0.3937765601302948,-0.8438647735965054,-0.07140615474747887,0.4640480370653789,-0.8149103236620425
1901-06-21,0.06429010617850361,1,-1,1,0.032733378429422144,1,1,-0.9326977057265148,-0.9814737265908742,0.00870028799057676,0.013641125990377478,-1,-0.03358543114892221,1,0.9242401480537553,0.11309015875163442,-0.9480836714443136,0.9705450354484598,1,1,-1,0.19120730665233146,0.19747132234425796,0.6370824187356651,0.9209029377836473,0.5120644948698838,-0.8764960739745525,-0.08067358342233474,0.43461535439789645,-0.7948411865874133
1901-07-14,1,1,-1,0.056867507693939556,-0.8795725819631022,0.04943775542301754,0.022630590422968,0.018948021795867076,-1,-0.975873713305387,0.9714570507563395,-0.02591245440696377,-1,1,-0.06143425078921816,-0.8604128620227992,-0.03072702686570372,1,0.043338458037412764,1,-0.9105460002542792,0.16832775335902306,0.1681928635939122,0.6823402189826785,0.9930882420821202,0.46953313391990587,-0.7852612637547789,-0.04316748166723558,0.3889553554644477,-0.8018541039733795
1901-09-01,0.015662866899686767,1,-0.06612501097502577,-0.9233165782930861,0.11773419598683477,-0.8645527045574747,-0.9528136629632388,0.9489334732136901,-1,-0.030272629778372973,0.02843020949815045,0.9697758007486623,-0.012373428996326097,1,-1,0.09205777805281512,0.8811664258068431,0.019514993629247468,-0.9437455908850639,0.008601518593826518,-0.808035802673226,0.1582063104709564,0.13539485912179292,0.583354479229735,1,0.48006009408400985,-0.7417011462089108,-0.07613965315841523,0.3738186538408458,-0.7912989525066098
1901-09-22,0.9968236768402311,1,-1,0.06761309392298054,1,0.12578162546964444,0.0018686818463429233,-0.04299253553143623,-1,0.9386142390248544,1,-0.012373773937864208,0.9568077261147314,1,-1,1,-0.015424380943146576,-0.9277637690559144,-1,-0.8684241621961966,-0.8551670306476875,0.19579165472897692,0.11299239624692775,0.639940402338116,1,0.4785801295498616,-0.7739279638744193,-0.005166827610769864,0.33120526845345144,-0.7378729020201051
1901-10-01,1,1,-1,0.9609771469798242,1,-0.8702184576254525,0.9709390329589302,-0.9922975801594405,-0.0057250149344321155,1,1,0.9508575393901822,-0.008931125200762557,0.016953938782388378,-1,1,0.9600250176434357,-1,-1,0.1070542072484415,-0.7440688117095634,0.1526522871567303,0.11713162613776838,0.6347166508086982,0.996522622584451,0.45871677756740215,-0.8174851901555767,0.01723733452599618,0.2877024381951912,-0.7714983973232935
