cos_sim_both_m,cos_sim_both_sd,n,period_start,period_end,vis_sim
0.2043591716158354,0.31269893942799665,2441,0,0.0027397260273972607,0.60217958580791775
0.2043591716158354,0.31269893942799665,2441,0,0.003449110717244295,0.60217958580791775
0.2043591716158354,0.31269893942799665,2441,0.0027397260273972607,0.00434217313003045,0.60217958580791775
0.18349232440627117,0.3023177745677402,1965,0.003449110717244295,0.0054664720958051485,0.5917461622031356
0.18349232440627117,0.3023177745677402,1965,0.00434217313003045,0.006881880634272822,0.5917461622031356
0.18024348910262555,0.3070193436540037,3751,0.0054664720958051485,0.008663774411420218,0.5901217445513127
0.176669042645927,0.3121560644347409,1786,0.006881880634272822,0.01090704576858897,0.5883345213229635
0.18448357274808042,0.3101156088102935,3583,0.008663774411420218,0.013731157085678701,0.5922417863740402
0.17605877543918047,0.30598066159880016,5401,0.01090704576858897,0.01728650258849845,0.5880293877195902
0.14552934919939511,0.30388342247065353,3684,0.013731157085678701,0.021762417389706343,0.5727646745996976
0.14159414035614232,0.3093593406870141,6694,0.01728650258849845,0.027397260273972608,0.5707970701780711
0.15466064411751007,0.314888832356067,8957,0.021762417389706343,0.03449110717244295,0.577330322058755
0.15224191427472164,0.30890468614824784,8793,0.027397260273972608,0.0434217313003045,0.5761209571373608
0.14503076963834202,0.3042934208257594,10211,0.03449110717244295,0.05466472095805151,0.572515384819171
0.1433883450296188,0.3129069500072534,14430,0.0434217313003045,0.06881880634272826,0.5716941725148094
0.14950712766763652,0.3202282083748006,17608,0.05466472095805151,0.08663774411420219,0.5747535638338183
0.14236374789841938,0.3133891290317931,18052,0.06881880634272826,0.1090704576858897,0.5711818739492097
0.1292001958918848,0.30688394933100405,21797,0.08663774411420219,0.137311570856787,0.5646000979459425
0.13126255189277897,0.3191820831096477,26746,0.1090704576858897,0.1728650258849845,0.5656312759463895
0.11942238010718473,0.32335956019236684,31474,0.137311570856787,0.21762417389706354,0.5597111900535924
0.12455915006443294,0.32647874260872745,41170,0.1728650258849845,0.27397260273972607,0.5622795750322165
0.14041920985470988,0.32931559165091223,50381,0.21762417389706354,0.3449110717244295,0.570209604927355
0.13012909999564765,0.3204664037683564,55118,0.27397260273972607,0.43421731300304506,0.5650645499978239
0.1295197284560871,0.32242573302617605,68088,0.3449110717244295,0.5466472095805154,0.5647598642280436
0.1312749033864683,0.32968619039109553,78880,0.43421731300304506,0.6881880634272829,0.5656374516932341
0.1184809463314918,0.33024428130474714,98230,0.5466472095805154,0.8663774411420219,0.5592404731657459
0.11532684538991157,0.3294973776954414,123392,0.6881880634272829,1.090704576858897,0.5576634226949558
0.1126191190463763,0.3302238106960068,128436,0.8663774411420219,1.37311570856787,0.5563095595231882
0.10858853833498841,0.3264963361896794,164153,1.090704576858897,1.7286502588498458,0.5542942691674942
0.10163743500102357,0.31951164707409696,260773,1.37311570856787,2.1762417389706363,0.5508187175005118
0.0973693696148951,0.3174996790541711,336086,1.7286502588498458,2.7397260273972606,0.5486846848074476
0.09656963802772943,0.322753262335823,348346,2.1762417389706363,3.4491107172442947,0.5482848190138647
0.09056772943744294,0.3221798752361296,426188,2.7397260273972606,4.34217313003045,0.5452838647187215
0.08415661992756056,0.31967176389578295,573161,3.4491107172442947,5.466472095805154,0.5420783099637803
0.0820566981063491,0.32055133461743396,712928,4.34217313003045,6.881880634272829,0.5410283490531745
0.0807578487981325,0.3208785241612044,833915,5.466472095805154,8.663774411420219,0.5403789243990662
0.07204226763825532,0.3213292655192845,985713,6.881880634272829,10.90704576858897,0.5360211338191276
0.05888796224067064,0.32117465703876624,1175001,8.663774411420219,13.731157085678701,0.5294439811203353
0.050574587308259034,0.3199953290904248,1422709,10.90704576858897,17.286502588498458,0.5252872936541295
0.043948434739141826,0.31832041225711055,1720482,13.731157085678701,21.762417389706364,0.521974217369571
0.024476748381306875,0.31758933686587937,2085030,17.286502588498458,27.397260273972606,0.5122383741906534
0.009566825602466815,0.31699859785029916,2401696,21.762417389706364,34.49110717244299,0.5047834128012334
-0.0040067494466969064,0.3210521177864118,2492552,27.397260273972606,43.4217313003045,0.49799662527665156
-0.03972340256876618,0.32649310416708216,2392264,34.49110717244299,54.66472095805148,0.4801382987156169
-0.10309278785666647,0.32803559670784044,2034165,43.4217313003045,68.8188063427283,0.4484536060716668
